Verilator Statistics Report

Information:
  Verilator 4.204 2021-06-12 rev v4.204
  Arguments: --cc --exe --top-module SimTop +define+VERILATOR=1 +define+PRINTF_COND=1 +define+RANDOMIZE_REG_INIT +define+RANDOMIZE_MEM_INIT +define+RANDOMIZE_GARBAGE_ASSIGN +define+RANDOMIZE_DELAY=0 -Wno-STMTDLY -Wno-WIDTH -I/home/yuyake/oscpu/projects/backup/build --x-assign unique -O3 -CFLAGS -std=c++11 -static -Wall -I/home/yuyake/oscpu/libraries/difftest/src/test/csrc -I/home/yuyake/oscpu/libraries/difftest/src/test/csrc/common -I/home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest -DVERILATOR -Wno-maybe-uninitialized  -DNUM_CORES=1 -LDFLAGS -lpthread -lSDL2 -ldl -lz --trace --assert --stats-vars --output-split 30000 --output-split-cfuncs 30000 -o /home/yuyake/oscpu/projects/backup/build/emu -Mdir /home/yuyake/oscpu/projects/backup/build/emu-compile /home/yuyake/oscpu/projects/backup/build/SimTop.v ./src/test/vsrc/common/SimJTAG.v ./src/test/vsrc/common/ram.v ./src/test/vsrc/common/assert.v ./src/test/vsrc/common/difftest.v ./src/test/vsrc/common/EICG_wrapper.v ./src/test/vsrc/common/ref.v /home/yuyake/oscpu/libraries/difftest/src/test/csrc/verilator/emu.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/verilator/main.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/verilator/snapshot.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/keyboard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/ram.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/common.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/sdcard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/uart.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/axi4.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/flash.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/vga.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/SimJTAG.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/device.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/compress.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/remote_bitbang.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/goldenmem.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/difftest.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/ref.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/interface.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/vcs/main.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/keyboard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/ram.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/common.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/sdcard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/uart.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/axi4.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/flash.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/vga.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/SimJTAG.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/device.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/compress.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/remote_bitbang.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/goldenmem.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/difftest.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/ref.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/interface.cpp
  Stage, Memory (MB), 040_slice                     25.382812
  Stage, Memory (MB), 041_const                     25.382812
  Stage, Memory (MB), 042_life                      25.382812
  Stage, Memory (MB), 043_table                     25.382812
  Stage, Memory (MB), 044_const                     25.382812
  Stage, Memory (MB), 045_deadDtypesScoped          25.382812
  Stage, Memory (MB), 046_active                    25.382812
  Stage, Memory (MB), 047_split                     25.382812
  Stage, Memory (MB), 048_splitas                   25.382812
  Stage, Memory (MB), 049_tracedecl                 25.382812
  Stage, Memory (MB), 050_gate                      26.382812
  Stage, Memory (MB), 051_const                     26.382812
  Stage, Memory (MB), 052_deadAllScoped             26.382812
  Stage, Memory (MB), 053_reorder                   26.382812
  Stage, Memory (MB), 054_delayed                   26.382812
  Stage, Memory (MB), 055_activetop                 26.382812
  Stage, Memory (MB), 056_order                     26.382812
  Stage, Memory (MB), 057_genclk                    26.382812
  Stage, Memory (MB), 058_clock                     26.382812
  Stage, Memory (MB), 059_const                     26.382812
  Stage, Memory (MB), 060_life                      26.382812
  Stage, Memory (MB), 061_life_post                 26.382812
  Stage, Memory (MB), 062_const                     26.382812
  Stage, Memory (MB), 063_deadAllScoped             26.382812
  Stage, Memory (MB), 064_changed                   26.382812
  Stage, Memory (MB), 065_trace                     27.382812
  Stage, Memory (MB), 066_descope                   27.382812
  Stage, Memory (MB), 067_localize                  27.382812
  Stage, Memory (MB), 068_combine                   27.382812
  Stage, Memory (MB), 069_const                     27.382812
  Stage, Memory (MB), 070_deadAll                   27.382812
  Stage, Memory (MB), 071_clean                     27.382812
  Stage, Memory (MB), 072_premit                    27.382812
  Stage, Memory (MB), 073_expand                    28.382812
  Stage, Memory (MB), 074_const_cpp                 28.382812
  Stage, Memory (MB), 075_subst                     28.382812
  Stage, Memory (MB), 076_const_cpp                 28.382812
  Stage, Memory (MB), 077_deadAll                   28.382812
  Stage, Memory (MB), 078_merge_cond                28.382812
  Stage, Memory (MB), 079_reloop                    28.382812
  Stage, Memory (MB), 080_depth                     28.382812
  Stage, Memory (MB), 081_cast                      28.382812
  Stage, Memory (MB), 082_cuse                      28.382812

Stage Statistics:
  Stat                                                           Link       PreOrder   Scoped     Final      Final_Fast
  --------                                                       -------    -------    -------    -------    -------  

  Branch prediction,                                                  50         79         81         81         78
  Branch prediction, VL_UNLIKELY                                                             3          7

  Instruction count, TOTAL                                          9221     112556     126343     125423       8216
  Instruction count, fast critical                                     0      17040      36046      35529       8162

  Node count, ACTIVE                                                             75
  Node count, ADD                                                      9         15         13         13          7
  Node count, ALWAYS                                                  35         82
  Node count, ALWAYSPOST                                                          1
  Node count, AND                                                    273        673        743       2103        691
  Node count, ARG                                                    227
  Node count, ARRAYSEL                                                          359        406        406        198
  Node count, ASSIGN                                                   4         50         60        171         85
  Node count, ASSIGNDLY                                              130         85         85         87         72
  Node count, ASSIGNPOST                                                         70
  Node count, ASSIGNPRE                                                          72          2          2          2
  Node count, ASSIGNW                                                407        384        381        324        162
  Node count, ATTROF                                                 383
  Node count, BASICDTYPE                                            1150         57         58         78
  Node count, BEGIN                                                   88
  Node count, CCALL                                                              11         17         17         10
  Node count, CCAST                                                                                  2737        944
  Node count, CELL                                                    18          1          1          1
  Node count, CFILE                                                                                    12
  Node count, CFUNC                                                              36         51         54         10
  Node count, CHANGEDET                                                                      1          1
  Node count, CMATH                                                              10         10         10          2
  Node count, CONCAT                                                 224        438        449
  Node count, COND                                                    26         62         62         68         31
  Node count, CONST                                                 1904       4664       5118       4222       1525
  Node count, CRESET                                                                                  205
  Node count, CRETURN                                                                        1          1
  Node count, CSTMT                                                             455        462        468        230
  Node count, CUSE                                                                                      3
  Node count, EQ                                                     104        691        807        677        192
  Node count, EXTEND                                                             43         44
  Node count, FUNC                                                     4
  Node count, FUNCREF                                                  6
  Node count, IF                                                      50         79         84         88         78
  Node count, LOGAND                                                  47
  Node count, LOGNOT                                                   6
  Node count, LOGOR                                                   10
  Node count, MODULE                                                  30          1          1          1
  Node count, NEGATE                                                                                  350        118
  Node count, NEQ                                                      2          6          6        107         34
  Node count, NETLIST                                                  1          1          1          1
  Node count, NOT                                                     33         91         99        105         41
  Node count, OR                                                     266        635        694       1117        436
  Node count, PACKAGE                                                  1          1          1          1
  Node count, PARSEREF                                               194
  Node count, PIN                                                    276
  Node count, PORT                                                   141
  Node count, RAND                                                     1
  Node count, RANGE                                                  495          3          4          4
  Node count, REDOR                                                   16         73         80
  Node count, REPLICATE                                              185        320        334
  Node count, SCOPE                                                               2          2          2
  Node count, SEL                                                              1507       1672
  Node count, SELBIT                                                 334
  Node count, SELEXTRACT                                              50
  Node count, SENITEM                                                 34          4
  Node count, SENTREE                                                 34          4
  Node count, SHIFTL                                                   2          6          5        512        234
  Node count, SHIFTR                                                   5          9          9        768        235
  Node count, SUB                                                      5          5          5          5          3
  Node count, TASK                                                    13
  Node count, TASKREF                                                 13
  Node count, TEXT                                                              465        472        478        232
  Node count, TOPSCOPE                                                            1          1          1
  Node count, TRACEDECL                                                         735        735        735
  Node count, TRACEINC                                                                     871        871
  Node count, TYPETABLE                                                1          1          1          1
  Node count, UNPACKARRAYDTYPE                                         3          3          4          4
  Node count, VAR                                                   1102        722        654        672        121
  Node count, VARREF                                                2607       3963       4034       4250       1425
  Node count, VARSCOPE                                                          502        434
  Node count, WORDSEL                                                                                  90         27
  Node count, XOR                                                      1          2          2          2          1

  Node pairs, ACTIVE_ALWAYS                                                       1
  Node pairs, ACTIVE_ALWAYSPOST                                                   1
  Node pairs, ACTIVE_ASSIGNPRE                                                   70
  Node pairs, ACTIVE_ASSIGNW                                                      2
  Node pairs, ADD_ADD                                                  1          2          2
  Node pairs, ADD_AND                                                             4          4
  Node pairs, ADD_COND                                                 2          9          7          5          2
  Node pairs, ADD_CONST                                                4          4          4          4          3
  Node pairs, ADD_VARREF                                              11         11          9         17          9
  Node pairs, ALWAYSPOST_IF                                                       1
  Node pairs, ALWAYS_ASSIGNDLY                                                   12
  Node pairs, ALWAYS_BEGIN                                            35
  Node pairs, ALWAYS_CCALL                                                        9
  Node pairs, ALWAYS_IF                                                          61
  Node pairs, ALWAYS_SENTREE                                          34
  Node pairs, AND_ADD                                                  2
  Node pairs, AND_AND                                                 16         79         95        133         43
  Node pairs, AND_CCAST                                                                               544        170
  Node pairs, AND_CMATH                                                                                 6
  Node pairs, AND_CONCAT                                                         51         54
  Node pairs, AND_COND                                                 6         14         16         24          8
  Node pairs, AND_CONST                                               18         61         61       1539        510
  Node pairs, AND_EQ                                                   2        393        434        158         31
  Node pairs, AND_EXTEND                                                         12         11
  Node pairs, AND_NEGATE                                                                              260         89
  Node pairs, AND_NEQ                                                             6          6         44         14
  Node pairs, AND_NOT                                                 18         54         59         85         34
  Node pairs, AND_OR                                                  13         55         57         97         37
  Node pairs, AND_REDOR                                                1         30         38
  Node pairs, AND_REPLICATE                                          133        233        232
  Node pairs, AND_SEL                                                           119        138
  Node pairs, AND_SELBIT                                               3
  Node pairs, AND_SELEXTRACT                                           5
  Node pairs, AND_SHIFTL                                                                              406        185
  Node pairs, AND_SHIFTR                                                                              413         81
  Node pairs, AND_VARREF                                             329        239        285        493        178
  Node pairs, AND_WORDSEL                                                                               4          2
  Node pairs, ARG_LOGAND                                               1
  Node pairs, ARG_PARSEREF                                           116
  Node pairs, ARG_REPLICATE                                            4
  Node pairs, ARG_SHIFTR                                               1
  Node pairs, ARG_VARREF                                             105
  Node pairs, ARRAYSEL_CONST                                                    354        401        401        195
  Node pairs, ARRAYSEL_VARREF                                                   364        411        411        201
  Node pairs, ASSIGNDLY_ADD                                            3
  Node pairs, ASSIGNDLY_AND                                            9         18         18         19         19
  Node pairs, ASSIGNDLY_CONCAT                                                    2          2
  Node pairs, ASSIGNDLY_COND                                                      7          7          5          5
  Node pairs, ASSIGNDLY_CONST                                         48         11         11         13          1
  Node pairs, ASSIGNDLY_EQ                                             1          1          1          1          1
  Node pairs, ASSIGNDLY_EXTEND                                                    1          1
  Node pairs, ASSIGNDLY_FUNCREF                                        2
  Node pairs, ASSIGNDLY_OR                                             1          6          6          9          9
  Node pairs, ASSIGNDLY_PARSEREF                                      10
  Node pairs, ASSIGNDLY_REPLICATE                                      2
  Node pairs, ASSIGNDLY_SEL                                                       1          1
  Node pairs, ASSIGNDLY_SELBIT                                        33
  Node pairs, ASSIGNDLY_SUB                                            1
  Node pairs, ASSIGNDLY_VARREF                                       150        123        123        127        109
  Node pairs, ASSIGNPOST_VARREF                                                 140
  Node pairs, ASSIGNPRE_CONST                                                     2          2          2          2
  Node pairs, ASSIGNPRE_VARREF                                                  142          2          2          2
  Node pairs, ASSIGNW_ADD                                              2          2          2
  Node pairs, ASSIGNW_AND                                            112        146        146         57         29
  Node pairs, ASSIGNW_ARRAYSEL                                                  256        256        256        128
  Node pairs, ASSIGNW_CCAST                                                                            98         49
  Node pairs, ASSIGNW_CONCAT                                                     34         34
  Node pairs, ASSIGNW_COND                                            10         12         12         14          7
  Node pairs, ASSIGNW_CONST                                            9          2          1
  Node pairs, ASSIGNW_EQ                                              62
  Node pairs, ASSIGNW_EXTEND                                                      2          2
  Node pairs, ASSIGNW_FUNCREF                                          3
  Node pairs, ASSIGNW_LOGAND                                          13
  Node pairs, ASSIGNW_LOGOR                                            3
  Node pairs, ASSIGNW_NOT                                              5
  Node pairs, ASSIGNW_OR                                              53         46         45         19          9
  Node pairs, ASSIGNW_PARSEREF                                        13
  Node pairs, ASSIGNW_RAND                                             1
  Node pairs, ASSIGNW_REDOR                                            2
  Node pairs, ASSIGNW_REPLICATE                                       16
  Node pairs, ASSIGNW_SEL                                                        58         56
  Node pairs, ASSIGNW_SELBIT                                          92
  Node pairs, ASSIGNW_SELEXTRACT                                      14
  Node pairs, ASSIGNW_SHIFTL                                           2          2          2          2          1
  Node pairs, ASSIGNW_SHIFTR                                           2          4          4          4          2
  Node pairs, ASSIGNW_VARREF                                         399        202        200        196         98
  Node pairs, ASSIGNW_XOR                                              1          2          2          2          1
  Node pairs, ASSIGN_ADD                                                                                4          2
  Node pairs, ASSIGN_AND                                                                               36          8
  Node pairs, ASSIGN_ARRAYSEL                                                    33         41         41         35
  Node pairs, ASSIGN_CCAST                                                                              8          2
  Node pairs, ASSIGN_CMATH                                                        6          6          4          2
  Node pairs, ASSIGN_COND                                                                               4          1
  Node pairs, ASSIGN_CONST                                             1         34         42         50         37
  Node pairs, ASSIGN_FUNCREF                                           1
  Node pairs, ASSIGN_LOGNOT                                            1
  Node pairs, ASSIGN_LOGOR                                             1
  Node pairs, ASSIGN_OR                                                                                53         26
  Node pairs, ASSIGN_PARSEREF                                          4
  Node pairs, ASSIGN_SEL                                                          4          4
  Node pairs, ASSIGN_VARREF                                                      23         27         84         40
  Node pairs, ASSIGN_WORDSEL                                                                           58         17
  Node pairs, ATTROF_VARREF                                          383
  Node pairs, BASICDTYPE_RANGE                                       492
  Node pairs, BEGIN_ASSIGN                                             3
  Node pairs, BEGIN_ASSIGNDLY                                         44
  Node pairs, BEGIN_IF                                                28
  Node pairs, BEGIN_TASKREF                                           13
  Node pairs, CCALL_CONST                                                         7          7          7          6
